Date and Time             |Up Time                            |Ram Usage   |CPU Usage |WAN IP         |SSID Data(2.4 GHz)      |Channel(2.4 GHz)|Bandwidth (2.4 GHz)       |SSID Data (5 GHz)       |Channel(5 GHz)|Bandwidth (5 GHz)         |Download   |Upload     |
2024-09-18 15:41:57.325059|0 gün 00:52:41                     |%24.66      |%2        |10.124.193.107 |FiberHGW_TPCB6A_2.4GHz  |Oto(Kanal 5)    |Oto(Kanal Genişliği 40MHz)|FiberHGW_TPCB6A         |Oto(Kanal 48) |Oto(Kanal Genişliği 80MHz)|129.89KB   |298.13KB   |
2024-09-18 15:42:29.522801|0 gün 00:53:13                     |%24.64      |%1        |10.124.193.107 |FiberHGW_TPCB6A_2.4GHz  |Oto(Kanal 5)    |Oto(Kanal Genişliği 40MHz)|FiberHGW_TPCB6A         |Oto(Kanal 48) |Oto(Kanal Genişliği 80MHz)|130.95KB   |314.70KB   |
2024-09-18 15:43:01.620257|0 gün 00:53:46                     |%24.7       |%4        |10.124.193.107 |FiberHGW_TPCB6A_2.4GHz  |Oto(Kanal 5)    |Oto(Kanal Genişliği 40MHz)|FiberHGW_TPCB6A         |Oto(Kanal 48) |Oto(Kanal Genişliği 80MHz)|131.07KB   |323.35KB   |
2024-09-18 15:43:33.812602|0 gün 00:54:18                     |%24.73      |%2        |10.124.193.107 |FiberHGW_TPCB6A_2.4GHz  |Oto(Kanal 5)    |Oto(Kanal Genişliği 40MHz)|FiberHGW_TPCB6A         |Oto(Kanal 48) |Oto(Kanal Genişliği 80MHz)|132.60KB   |334.06KB   |
2024-09-18 15:44:05.959547|0 gün 00:54:50                     |%24.7       |%2        |10.124.193.107 |FiberHGW_TPCB6A_2.4GHz  |Oto(Kanal 5)    |Oto(Kanal Genişliği 40MHz)|FiberHGW_TPCB6A         |Oto(Kanal 48) |Oto(Kanal Genişliği 80MHz)|133.03KB   |344.89KB   |
2024-09-18 15:44:38.079287|0 gün 00:55:22                     |%24.7       |%2        |10.124.193.107 |FiberHGW_TPCB6A_2.4GHz  |Oto(Kanal 5)    |Oto(Kanal Genişliği 40MHz)|FiberHGW_TPCB6A         |Oto(Kanal 48) |Oto(Kanal Genişliği 80MHz)|133.73KB   |378.63KB   |
2024-09-18 15:45:10.181792|0 gün 00:55:54                     |%24.67      |%5        |10.124.193.107 |FiberHGW_TPCB6A_2.4GHz  |Oto(Kanal 5)    |Oto(Kanal Genişliği 40MHz)|FiberHGW_TPCB6A         |Oto(Kanal 48) |Oto(Kanal Genişliği 80MHz)|134.16KB   |394.82KB   |
2024-09-18 15:45:42.296910|0 gün 00:56:26                     |%24.64      |%1        |10.124.193.107 |FiberHGW_TPCB6A_2.4GHz  |Oto(Kanal 5)    |Oto(Kanal Genişliği 40MHz)|FiberHGW_TPCB6A         |Oto(Kanal 48) |Oto(Kanal Genişliği 80MHz)|140.52KB   |404.14KB   |
2024-09-18 15:46:14.513777|0 gün 00:56:58                     |%24.61      |%1        |10.124.193.107 |FiberHGW_TPCB6A_2.4GHz  |Oto(Kanal 5)    |Oto(Kanal Genişliği 40MHz)|FiberHGW_TPCB6A         |Oto(Kanal 48) |Oto(Kanal Genişliği 80MHz)|141.97KB   |420.17KB   |
2024-09-18 15:46:46.823569|0 gün 00:57:32                     |%24.61      |%6        |10.124.193.107 |FiberHGW_TPCB6A_2.4GHz  |Oto(Kanal 5)    |Oto(Kanal Genişliği 40MHz)|FiberHGW_TPCB6A         |Oto(Kanal 48) |Oto(Kanal Genişliği 80MHz)|142.52KB   |425.38KB   |
2024-09-18 15:47:18.969711|0 gün 00:58:03                     |%24.62      |%1        |10.124.193.107 |FiberHGW_TPCB6A_2.4GHz  |Oto(Kanal 5)    |Oto(Kanal Genişliği 40MHz)|FiberHGW_TPCB6A         |Oto(Kanal 48) |Oto(Kanal Genişliği 80MHz)|143.36KB   |452.63KB   |
2024-09-18 15:47:51.188011|0 gün 00:58:35                     |%24.62      |%3        |10.124.193.107 |FiberHGW_TPCB6A_2.4GHz  |Oto(Kanal 5)    |Oto(Kanal Genişliği 40MHz)|FiberHGW_TPCB6A         |Oto(Kanal 48) |Oto(Kanal Genişliği 80MHz)|143.75KB   |464.42KB   |
2024-09-18 15:48:23.338915|0 gün 00:59:07                     |%24.71      |%7        |10.124.193.107 |FiberHGW_TPCB6A_2.4GHz  |Oto(Kanal 5)    |Oto(Kanal Genişliği 40MHz)|FiberHGW_TPCB6A         |Oto(Kanal 48) |Oto(Kanal Genişliği 80MHz)|144.08KB   |469.74KB   |
2024-09-18 15:48:55.489455|0 gün 00:59:40                     |%24.73      |%2        |10.124.193.107 |FiberHGW_TPCB6A_2.4GHz  |Oto(Kanal 5)    |Oto(Kanal Genişliği 40MHz)|FiberHGW_TPCB6A         |Oto(Kanal 48) |Oto(Kanal Genişliği 80MHz)|144.27KB   |474.20KB   |
2024-09-18 15:49:27.821493|0 gün 01:00:12                     |%24.73      |%1        |10.124.193.107 |FiberHGW_TPCB6A_2.4GHz  |Oto(Kanal 5)    |Oto(Kanal Genişliği 40MHz)|FiberHGW_TPCB6A         |Oto(Kanal 48) |Oto(Kanal Genişliği 80MHz)|145.14KB   |484.58KB   |
2024-09-18 15:50:00.213669|0 gün 01:00:44                     |%24.73      |%2        |10.124.193.107 |FiberHGW_TPCB6A_2.4GHz  |Oto(Kanal 5)    |Oto(Kanal Genişliği 40MHz)|FiberHGW_TPCB6A         |Oto(Kanal 48) |Oto(Kanal Genişliği 80MHz)|145.58KB   |489.07KB   |
